order_id,user_id,session_id,event_id,order_type,ticker,purchase_amount_krw,price_per_share_krw,fractional_shares,integer_shares,commission_krw,status,error_code,order_timestamp
ORD_2ce2a962353c,USR_6b4b6cb5748a,SES_69bb4699dc24,EVT_21a33f10ec93,integer,MSFT,4160000,520000,,8,10400,success,,2025-03-03 05:11:29.607000
ORD_84bb17dbafdb,USR_1446339dbafc,SES_3dda3d77d584,EVT_cce90d7548d9,integer,TQQQ,450000,75000,,6,1125,success,,2025-03-04 07:10:47.967000
ORD_05bb61e87326,USR_3e728c01cf87,SES_ef87a9b1b2ef,EVT_2aa36c1c282f,integer,NVDA,900000,900000,,1,2250,success,,2025-03-02 22:48:53.367000
ORD_6e0333e8267e,USR_cdbdfe5aa816,SES_b2ab20397d79,EVT_aa0cbb230caf,integer,PLTR,160000,80000,,2,400,success,,2025-03-01 23:17:07.606000
ORD_f10e79048354,USR_f5a48baadd48,SES_5a278f12419a,EVT_cf7dd70e2922,integer,NVDA,6300000,900000,,7,15750,success,,2025-03-04 08:14:01.059000
ORD_2db7e3395213,USR_a864b3ea2228,SES_dc3ae4c9bc98,EVT_0154d379123a,integer,NVDA,3600000,900000,,4,9000,success,,2025-03-07 07:54:58.687000
ORD_67ce0ee622de,USR_ccc9f91e233a,SES_afdc171b90ee,EVT_3bf77dcf5866,integer,TSLA,1400000,280000,,5,3500,success,,2025-03-03 14:06:51.852000
ORD_dd68f6c1e828,USR_d5d5c85ab984,SES_9d3d58ebe463,EVT_28fcd3dae475,integer,GOOGL,480000,240000,,2,1200,success,,2025-03-01 16:01:01.966000
ORD_a1bf09746544,USR_154d1aff1f3f,SES_a3a719a49b68,EVT_f718d168bbc4,integer,TSLA,560000,280000,,2,1400,success,,2025-03-02 12:58:29.073000
ORD_e471fb43f675,USR_f56092f968ca,SES_e599effc9f4a,EVT_40e9493ec626,integer,TSLA,2800000,280000,,10,7000,canceled,한도초과,2025-03-02 10:52:01.306000
ORD_628e79f8602f,USR_a73ada91044d,SES_dd779f97da4d,EVT_a76f952bdac2,integer,MSFT,1040000,520000,,2,2600,success,,2025-03-06 22:54:18.481000
ORD_39cbed17e302,USR_a5bef51a04ee,SES_f4700aee48ce,EVT_c6579484ace8,integer,TSLA,2800000,280000,,10,7000,success,,2025-03-04 18:08:11.256000
ORD_65f6094984f1,USR_3107d7d2a101,SES_2f5f8e9af021,EVT_a85df687f868,integer,TSLA,1400000,280000,,5,3500,success,,2025-03-03 08:12:54.049000
ORD_9326a458677a,USR_32f2ef72b658,SES_5b543c71d4f8,EVT_d06478ced25b,fractional,TQQQ,6000,75000,0.08,,15,success,,2025-03-05 20:27:51.414000
ORD_4dcf491db7f5,USR_f5709c2991c7,SES_161cf32601aa,EVT_e9ddc618919b,integer,AAPL,1250000,250000,,5,3125,fail,잔고부족,2025-03-05 02:03:00.458000
ORD_c7e3e5c1e8be,USR_82a251031fba,SES_8b8bb46772b7,EVT_b26aa52d9cde,fractional,AAPL,17000,250000,0.068,,42,success,,2025-03-04 15:26:27.687000
ORD_371ea6e8dc31,USR_be017848ab96,SES_7fa5ef68fd5f,EVT_6d595185d541,integer,AAPL,1500000,250000,,6,3750,success,,2025-03-06 18:49:51.844000
ORD_08f1ff25f2ff,USR_7acf1350577c,SES_7559e7a22243,EVT_ef88c91eb70e,integer,NVDA,4500000,900000,,5,11250,success,,2025-03-05 22:30:57.251000
ORD_be27d0ed295b,USR_58538e2d7a15,SES_7ecb56fb91cd,EVT_5c9e4240b610,integer,TSLA,2520000,280000,,9,6300,success,,2025-03-04 10:22:47.883000
ORD_e29bf0657215,USR_fd22b1d58672,SES_bf5cdd6985b5,EVT_22c2e68a8afb,integer,AAPL,2250000,250000,,9,5625,success,,2025-03-02 23:09:58.850000
ORD_c7d7ccc0ca59,USR_e89c42147ce7,SES_6c20e6e939a6,EVT_50fa497cfea6,integer,NVDA,8100000,900000,,9,20250,success,,2025-03-01 12:07:31.619000
ORD_0d786cdf1bc0,USR_389f4b450493,SES_37f2ea8623f3,EVT_855663987727,integer,AAPL,1250000,250000,,5,3125,success,,2025-03-04 17:41:56.601000
ORD_cd0d27bbde90,USR_d45525b1ba73,SES_f2ff6e92bde3,EVT_3ab9ee3c200e,integer,PLTR,640000,80000,,8,1600,success,,2025-03-02 12:29:56.837000
ORD_c626508e1302,USR_69c4e916a2c3,SES_2a35b414a8eb,EVT_4f2bbe0d1369,integer,NVDA,7200000,900000,,8,18000,success,,2025-03-07 12:58:46.551000
ORD_2ef33cc6721f,USR_8de9e272ba90,SES_7c1b1b3da185,EVT_988de1c641e0,integer,QQQ,3480000,580000,,6,8700,success,,2025-03-05 10:27:24.967000
ORD_76f1d5dc274e,USR_f2b21ebebaa3,SES_fb09b07a81a9,EVT_cfe1fed043ac,integer,NVDA,8100000,900000,,9,20250,success,,2025-03-05 16:39:31.179000
ORD_0ee581b8d376,USR_a9a99d990fab,SES_4a8b6a82d382,EVT_2d6df9155b22,integer,NVDA,2700000,900000,,3,6750,success,,2025-03-07 23:59:01.070000
ORD_07fc50b9b250,USR_614ec1f4006a,SES_8cc781791756,EVT_f0b37aa9b150,integer,PLTR,800000,80000,,10,2000,success,,2025-03-03 23:06:41.372000
ORD_a125b5950276,USR_987d956a0802,SES_f8080fb10263,EVT_43061bde2282,integer,TSLA,1400000,280000,,5,3500,success,,2025-03-05 19:39:46.650000
ORD_f6c3828d22da,USR_6260498afafa,SES_b8f318412f5e,EVT_384770236720,integer,NVDA,8100000,900000,,9,20250,success,,2025-03-04 12:15:29.134000
ORD_6db7575cc4cc,USR_eb2a783fe5cb,SES_afa75cf29628,EVT_9450bc9eef0f,fractional,NVDA,25000,900000,0.0278,,62,success,,2025-03-07 12:21:34.586000
ORD_d782c11ac133,USR_6624d0ed6e4a,SES_6d1035fd8436,EVT_7eb0896869ea,integer,PLTR,240000,80000,,3,600,success,,2025-03-04 12:19:34.544000
ORD_baeb3b73d26f,USR_42683aa6e5f9,SES_80409e60e1a6,EVT_1f7391a9108f,integer,NVDA,6300000,900000,,7,15750,success,,2025-03-05 08:19:00.502000
ORD_42134d05d7a9,USR_ecca88d27bf8,SES_08e9c35fc926,EVT_ae43f399eead,integer,QQQ,5800000,580000,,10,14500,success,,2025-03-06 10:39:44.743000
ORD_a69a24ebd7bf,USR_522535c95026,SES_96d504c5fb6b,EVT_39fa5936b14b,integer,TSLA,2800000,280000,,10,7000,success,,2025-03-04 08:33:33.700000
ORD_95d55e5dbee5,USR_c16979fc8031,SES_07f76af92044,EVT_cd63856f35c5,integer,TQQQ,750000,75000,,10,1875,success,,2025-03-03 23:18:42.307000
ORD_0581c4a9dd69,USR_7c1b7fe8c258,SES_e29878ec2a47,EVT_a681011ae34e,integer,PLTR,560000,80000,,7,1400,success,,2025-03-06 17:14:34.972000
ORD_c064220c2625,USR_75cb60594c1b,SES_bfceca3e95b6,EVT_0f1471c9c0b5,integer,IONQ,200000,40000,,5,500,success,,2025-03-06 18:51:02.840000
ORD_0d6002ce8557,USR_2da3df0ca03e,SES_23b2391f9e32,EVT_096c103e4399,integer,TSLA,280000,280000,,1,700,success,,2025-03-02 15:22:14.369000
ORD_1468509afefa,USR_ca6d19cded85,SES_55c7db1a7a92,EVT_076c0176b760,integer,NVDA,3600000,900000,,4,9000,success,,2025-03-05 12:49:32.479000
ORD_ff35a96958f2,USR_b4f4a8e7a14f,SES_5b21fe64201d,EVT_0adfbc0ab129,integer,QQQ,2900000,580000,,5,7250,success,,2025-03-03 07:55:15.050000
ORD_7f89116db352,USR_6009c81d08a4,SES_378de0500fb2,EVT_1db25a1f4be8,integer,NVDA,1800000,900000,,2,4500,success,,2025-03-03 22:58:40.780000
ORD_f46f8820ce68,USR_cbb3b92e252f,SES_6d8d6c06c086,EVT_15603f621e79,integer,PLTR,80000,80000,,1,200,success,,2025-03-04 07:34:52.896000
ORD_17ab37e9a903,USR_6b0a30dd9d35,SES_5272fcf80d73,EVT_a058e60c0620,integer,AAPL,500000,250000,,2,1250,success,,2025-03-02 12:05:04.212000
ORD_ce46e2ef3e95,USR_a705a1532cd4,SES_831493eb4fe4,EVT_b619d544ba3b,integer,NVDA,7200000,900000,,8,18000,success,,2025-03-04 14:21:54.371000
ORD_b5fddfe26391,USR_5900bcd2fdbb,SES_adb777e7d4df,EVT_30992f54b968,integer,TSLA,560000,280000,,2,1400,success,,2025-03-06 06:42:57.362000
ORD_f5b38a51376e,USR_f3d210d18901,SES_a40d93a6407c,EVT_dbf2aadfea80,integer,AAPL,250000,250000,,1,625,success,,2025-03-04 16:27:26.512000
ORD_e8ae8bee0024,USR_c96bc25a26de,SES_ca654e63bb70,EVT_81af4bdace91,integer,TSLA,1680000,280000,,6,4200,success,,2025-03-01 22:22:54.686000
ORD_ad8827954c03,USR_841ff6a95812,SES_7f29cdc15289,EVT_f375fc2935a5,integer,PLTR,480000,80000,,6,1200,success,,2025-03-05 12:48:20.934000
ORD_4e3db33ea7c0,USR_9f5c0599a847,SES_f8858b5093ba,EVT_107f31761e35,integer,TQQQ,375000,75000,,5,938,success,,2025-03-01 08:49:01.177000
ORD_7e25d4ec799a,USR_e8c1f98521a2,SES_9d34ba302334,EVT_c039a61aec91,integer,AAPL,2500000,250000,,10,6250,success,,2025-03-06 20:28:34.373000
ORD_6a539742ee5c,USR_857ce21f6e66,SES_d9afbd91314f,EVT_11617dcc84e3,integer,AAPL,2500000,250000,,10,6250,success,,2025-03-04 21:46:08.434000
ORD_bdca4f35e27f,USR_5d36c092bd2b,SES_697492a4466f,EVT_a91a306b4346,integer,NVDA,3600000,900000,,4,9000,success,,2025-03-01 10:57:25.885000
ORD_03c2ca02a2cb,USR_3d13f5bd7490,SES_e82c7358aae0,EVT_5974ec97fd98,fractional,IONQ,15000,40000,0.375,,38,success,,2025-03-04 07:09:15.680000
ORD_e68a704822aa,USR_447a34d8faf8,SES_b45fc6b1c643,EVT_bc7e08ee1be7,integer,AAPL,2500000,250000,,10,6250,success,,2025-03-07 10:21:31.918000
ORD_7d00b4712467,USR_bd5bb006fe00,SES_4565cf3ab250,EVT_6a520dee5425,integer,TSLA,1400000,280000,,5,3500,success,,2025-03-03 23:57:12.277000
ORD_6c68cec468fe,USR_ebabeb000f2c,SES_db4fc78f64df,EVT_d5c6131842f1,integer,PLTR,560000,80000,,7,1400,success,,2025-03-05 12:42:40.355000
ORD_bf30aa40f158,USR_3c5c67569191,SES_a401c93bfbb0,EVT_51d5ad47fa50,integer,TSLA,2520000,280000,,9,6300,success,,2025-03-06 12:31:28.950000
ORD_3686d3aa36ed,USR_5f31f4a069d2,SES_a374c0553161,EVT_3cd14c287a78,integer,TSLA,1400000,280000,,5,3500,success,,2025-03-06 08:03:27.051000
ORD_361abb88a4c1,USR_ea26ec1bbc65,SES_436ef5221f55,EVT_110c4a35639e,integer,AAPL,750000,250000,,3,1875,canceled,한도초과,2025-03-02 08:23:09.279000
ORD_26748c56a531,USR_61130fa8191d,SES_c86e8a587e41,EVT_a9074d854f51,integer,TSLA,1960000,280000,,7,4900,success,,2025-03-06 14:57:26.687000
ORD_495a5b0017ae,USR_4a854374637a,SES_12279dd2e040,EVT_2f12a90a491e,integer,TQQQ,525000,75000,,7,1312,success,,2025-03-07 23:25:07.890000
ORD_7204f15c7535,USR_0fe1482cd373,SES_7ad439a542da,EVT_961d2433c3c7,fractional,GOOGL,7000,240000,0.0292,,18,success,,2025-03-04 12:26:59.508000
ORD_876e73cff813,USR_6dcb1afed93f,SES_21999add1510,EVT_f590fdbb6591,integer,PLTR,560000,80000,,7,1400,success,,2025-03-06 23:47:02.355000
ORD_da289c7d41cc,USR_1e2925042ac3,SES_321855a85f89,EVT_ed519cd2219f,integer,TSLA,2240000,280000,,8,5600,success,,2025-03-01 21:11:37.235000
ORD_7ab3fedbf265,USR_034dd505baf4,SES_0c0f7ae6021b,EVT_aa483cbe3cd8,integer,TSLA,840000,280000,,3,2100,success,,2025-03-06 12:36:49.738000
ORD_7a9b6ed11d5c,USR_e17485d843f5,SES_aa28836aae0e,EVT_d0a54c572830,integer,AAPL,2500000,250000,,10,6250,success,,2025-03-04 18:21:00.989000
ORD_5211c4d8379a,USR_7c02973f0cb0,SES_52ad71db4092,EVT_2a94b0d808cb,integer,TSLA,2520000,280000,,9,6300,success,,2025-03-01 16:34:19.026000
ORD_0ca4f5de95ab,USR_49ae53f66832,SES_06f7345e5946,EVT_2af84e26f655,integer,IONQ,120000,40000,,3,300,success,,2025-03-02 22:25:42.214000
ORD_a1f0840e3a92,USR_5f894f54f461,SES_d9a42cebf8b4,EVT_3bbc3408ce1c,integer,PLTR,320000,80000,,4,800,success,,2025-03-06 03:07:50.137000
ORD_247467fbd615,USR_73b5b119b2a8,SES_1dba989d6e50,EVT_4646169744c0,integer,GOOGL,1920000,240000,,8,4800,success,,2025-03-04 12:10:42.023000
ORD_a5d613bb7c2d,USR_7ed7199a2246,SES_4d5330ea3ac1,EVT_808094f86d63,integer,MSFT,520000,520000,,1,1300,success,,2025-03-06 12:50:00.817000
ORD_636b00b8a274,USR_b9432525f354,SES_3e12a1ef2ed3,EVT_8d48a014bddd,integer,NVDA,6300000,900000,,7,15750,success,,2025-03-02 21:47:57.497000
ORD_ce72ef1e378f,USR_f6038bdcafe3,SES_eaf9a1c4c101,EVT_33aeac157547,integer,GOOGL,1200000,240000,,5,3000,success,,2025-03-02 23:20:30.013000
