user_id,experiment_group,gender,age_group,device_type,investment_type,acquisition_channel,first_trade_date,total_trade_count,is_first_fractional_exp
USR_e92b04ed8494,A,F,20대,android,위험중립형,search,2024-10-11,36,False
USR_6b4b6cb5748a,A,M,30대,ios,공격투자형,organic,2025-02-13,60,False
USR_f1d014d420ef,A,F,30대,android,공격투자형,search,2024-11-08,72,False
USR_1446339dbafc,A,M,20대,android,공격투자형,organic,2024-12-11,196,False
USR_b7584e448aab,A,M,30대,android,안정형,organic,2025-02-06,138,True
USR_83e522f5145f,A,M,30대,ios,위험중립형,ad,2024-08-27,181,True
USR_05c40eaf22e1,A,F,40대,android,적극투자형,organic,2025-01-08,117,True
USR_d281802735a4,A,F,20대,ios,위험중립형,organic,2024-03-16,156,True
USR_3e728c01cf87,A,F,20대,ios,안정추구형,ad,2024-04-07,57,True
USR_bab5dd1df294,A,M,20대,ios,안정형,search,2024-09-20,17,False
USR_081b7ed32e0f,A,M,30대,ios,적극투자형,organic,2024-08-10,165,True
USR_ed37b579c2bc,A,M,20대,android,적극투자형,search,2024-05-05,150,False
USR_f520b85f265a,A,F,20대,ios,안정추구형,organic,2025-02-04,40,True
USR_8b70072978ca,A,F,30대,ios,공격투자형,ad,2024-07-04,142,False
USR_def7e893800b,A,M,30대,android,적극투자형,organic,2024-10-15,88,True
USR_28eae7d549cc,A,M,40대,android,안정형,search,2024-10-17,196,True
USR_6ef963cbc180,A,F,30대,ios,위험중립형,ad,2024-04-23,96,False
USR_2e9055616a1f,A,F,20대,ios,안정추구형,search,2024-09-16,29,False
USR_90bee37822f8,A,F,20대,ios,안정추구형,search,2024-05-14,22,True
USR_18494ce28545,A,M,20대,ios,위험중립형,ad,2024-03-28,141,False
USR_cdbdfe5aa816,A,M,50대이상,android,위험중립형,organic,2024-03-12,80,False
USR_72659b88a5b6,A,M,30대,android,위험중립형,ad,2024-10-25,87,False
USR_45d53ca52b72,A,F,30대,ios,공격투자형,organic,2025-01-29,9,False
USR_2175983d6829,A,F,20대,android,적극투자형,organic,2024-12-23,147,True
USR_f5a48baadd48,A,M,20대,ios,안정추구형,organic,2024-03-28,109,False
USR_e337276626c7,A,F,30대,android,공격투자형,organic,2025-01-28,87,False
USR_547d9bed6111,A,F,20대,ios,공격투자형,search,2024-11-27,64,False
USR_f0de7c60afe0,A,F,20대,android,안정형,search,2024-04-01,4,True
USR_cacc255719f3,A,M,30대,ios,공격투자형,organic,2024-11-11,16,True
USR_e25cc8b76d94,A,F,40대,android,위험중립형,ad,2024-10-05,188,True
